form	sense	year	origin	Loan
a¹	eine Interjektion	1833.0		False
á	〈eine Interjektion〉	1372.0		False
aba ×	Flausch, Fries,  Flanell,  Besatz am Rock	1556.0	Ottoman-Turkic	True
abajdoc	gemischt, ,  Mischkorn,  schmutziges Getreide,  Fraß, Gekoch	1320.0	Slavic	True
abajgat	beunruhigen, belästigen,  hetzen, jagen,  schreien,  prügeln	1662.0		False
abajog ×	schreien,  plaudern,  klagen	1838.0	derived word	False
abál	abbrühen, abkochen	1561.0	Slavic	True
abcúg ∆	nieder mit ihm	1869.0	German	True
ábdál ×	verfertigen,  behauen,  flicken, schlecht nähen	1585.0	Latin	True
ábécé	Alphabet, alphabetische Ordnung,  Elementartkentnisse	1510.0	compound	False
abesszin ∆	Abessinier,  abessinisch, Abesszíniában lakó, sötét bőrű nép tagja, Abesszínia	1573.0		False
ablak	Fenster,  Rauchloch	1372.0	Slovenian	True
abora ×	Art Schutzdach über Heuschobern 	1586.0	Ukranian	True
abrak	Ration des Dienstvolks,  Nahrung,  Pferdefutter	1494.0	Slavic	True
abrakadabra	Abrakadabra,  Amulett	1788.0	international word	True
ábrándozik	dahinträumen,  irren, herumgaffen	1794.0		False
ábráz  †	Bild, Gestalt	1372.0		False
abriktol ×	unterrichten,  prügeln	1835.0		False
abroncs	reif,  Kreis, Ring,  Reifen am Saume des Frauenkleides	1467.0	Slavic	True
abrosz	Tischtuch,  Landkarte,  Decke, Bettlaken	1372.0	Slavic	True
abszint ∆	Absinth	1870.0	international word	True
abszolút	befreit, freigesprochen,  absolut,  〈im Klabriasspiel〉 das Gewinnen der absoluten Mehrheit der Stiche	1579.0		False
abszolutizmus	Absolutismus	1833.0	Latin	True
absztrakció	Beschäftigung,  Abstraktum,  Abstraktion	1786.0		False
absztrakt	abstrakt	1835.0	international word	True
abszurd	sinnlos, unmöglich	1761.0		False
acél	Stahl	1086.0	Slavic	True
achát	Achat	1604.0	Wanderwort	True
acintos ×	hart,  gestählt, stählern	1816.0	internal	False
ács	Zimmermann	1222.0	Turkic	True
acsa ×	Libelle		unknown	False
acsarkodik	Zähne fletschen,  anfeinden, intrigieren	1645.0		False
ácsi	〈zum Zigeunermusikanten:〉 still!, hör auf!, hagyd abba! megállj!, marad, időzik, lakik, van	1777.0		False
ácsingózik ×	gierig wünschen,  gaffen	1833.0		False
ácsorog	grinsen,  gierig wünschen,  gaffen,  untätig herumstehen	1652.0	derived word	False
ad	zukommen lassen, schenken,  geben, liefern,  lassen,  verkaufen,  veröffentlichen,  Geben,  Beleg, Angabe,  Gesetzgeber,  Herausgeber,  〈als Teil eines Schimpfw〉,  Tradition,  Beitrag 	1086.0	Proto-Finno-Ugric	False
ádámcsutka	Adamsapfel,	1845.0	compound	False
ádámkosztüm	Adamskostüm 		German	True
ádázik ∆	wüten,  wütend machen,  sich sehnen,  herumirren	1533.0		False
adjunktus	Adjunkt,  Oberassistent 〈akademischer od ärtzlicher Rang〉	1699.0	Latin	True
adjusztál	herrichten, ausrüsten,  richtigstellen,  gefügig machen	1717.0		False
adjutáns	Adjutant	1651.0	international word	True
adminisztrátor	Verwalter,  Ablieferer,  Sachbearbeiter 	1566.0		False
admirális ∆	Admiral	1655.0	international word	True
adó	Steuer, Abgabe,  Schuldner	1359.0	derived word	False
adoma	Anekdote	1851.0	internal	False
adoptál	adoptieren,  annehmen, genehmigen	1785.0	Latin	True
adresszíroz ∆	adressieren	1789.0		False
adu	Trumpf	1799.0	loan	True
advent	Fasten vor einem Fest,  Advent	1470.0	Latin	True
affektál	heucheln, nachahmen,  sich an etw ergötzen,  affektieren 	1587.0		False
affér	Affäre,  Ehrenaffäre, Duell 	1835.0	German	True
áfium ∆	Stechapfel, Opium	1546.0		False
áfonya	Heidelbeerestrauch,  Heidelbeere	1708.0	Romanian	True
afrik ∆	Seegras als Polstermittel 	1893.0	German	True
ág	Flußarm,  Ast,  Sippe, Parentel,  herausragender Teil von etw, Arm,  Teil einer Begriffsklasse,  abzweigen 	1131.0	uncertain	False
aga	Aga 〈ehemaliger türkischer Offiziersrang〉 	1544.0	Ottoman-Turkic	True
ágál	prozessieren,  aufführen, 〈eine Rolle〉 darstellen,  〈eine Sache〉 erledigen,  heftig gestikulierend reden,  Rechtspraxis ausüben,  großtun, prahlen	1568.0	Latin	True
agancs	Hirschgeweih,  hakenförmiges Werkzeug,  Hirschtier	1845.0	internal	False
agár	Windhund,  magerer Mensch,  Windhundpfleger	1193.0	Slavic	True
ágaskodik	sich aufwärts bäumen, auf den Zehenspitzen stehen,  in die Höhe streben	1566.0	derived word	False
ág-bog	Gezweige,  Lode, Wassertrieb,  Sippe, Verwandtschaft,  das Um und Auf einer Sache	1522.0	compound	False
ágenda ∆	Ritus, Ritual,  Konfirmation	1550.0		False
ágens ∆	Vertreter,  Geschäftsleiter,	1616.0	Latin	True
agg	alt,  bejahrt, hochbetagt 〈Person〉,  schlau, erfahren,  hochgewachsen	1315.0		False
aggastyán	bejahrt, vor Alter gebrochen,  blaß, kränkelnd,  alt,  betagter Mann,  alter Junggeselle,  bejahrtes Weib	1536.0	internal	False
aggik ∆	sich ängsten,  sich um etw kümmern,  zusammenschrumpfen, sich zusammenballen,  beunruhigen 	1486.0		False
agilis	betriebsam, emsig,  Halbadeliger	1796.0	Latin	True
agitál	unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		False
agresszió	Agression	1657.0		False
agresszív	angriffsweise,  aggressiv	1848.0	Latin	True
ágrólszakadt	ärmlich aussehend, lumpig, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, von unbekannter Herkunft 	1793.0	compound	False
agronómus	Agronom	1865.0	international word	True
agy	Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0	Proto-Finno-Ugric	False
ágy	Flußbett,  Bett, Lagerstätte,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben,  Konkubine 	1276.0		False
agyabugyál	prügeln,  sich verzanken	1669.0	internal	False
agyafúrt	irrsinnig, närrisch,  schlau,  hartnäckig 	1538.0	compound	False
agyag	Ton 	1205.0	unknown	False
agyar	Hauer,  knirschen 	1456.0	Proto-Finno-Ugric	False
ágyék	Lende	1490.0	derived word	False
ágynemű	Bettzeug,  Lagerstätte	1748.0	compound	False
agyon	zum Tode,  auf den Kopf 	1551.0	lexicalized inflected word-form	False
ágyú	mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Geschütz, Kanone,  Kanone mit Sprengsatz	1456.0	uncertain	False
áhít	〈sehnlich〉 wünschen,  Sehnsucht,  Andacht 	1416.0	onomatopoetic	False
áj² ∆	Tal, Schlucht,  Öffnung,  Falz, Kerbe,  Zaum,  Zwischenraum,  angezeichnet,  Sardelle,  Sardelle	1055.0		False
ajak	Mund,Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1228.0	derived word	False
ajándék	Geschenk,  Opfergabe	1137.0	derived word	False
ajánl	anbieten, anvertrauen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0	derived word	False
ájer ×	Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0	Latin	True
ajnároz	hätscheln, pflegen,  ordnen	1825.0	uncertain	False
ájtatos	andächtig,  scheinheilig	1372.0	derived word	False
ajtó	Tür, ajtóőriző	1315.0	derived word	False
ajtófél	Türpfosten	1512.0	compound	False
ájul	erschrecken,  in Ohnmacht fallen,  staunen, álmélkodik,  sich sehnen,	1559.0	onomatopoetic	False
ajz	abspreizen 〈den Mund〉,  aufzäumen,  〈den Bogen, die Sehne〉spannen,  öffnen 〈den Mund〉,  steigern, überspannen 〈ein Gefühl, einen Gemütszustand〉,  spannen 〈ein Musikinstrument, seine Saite〉,  Pferdegebiß, zabola	1552.0	derived word	False
akác	Akazienbaum,  Robiniengehölz 	1783.0	loan	True
akadémia	Schule, Hochschule,  Konzert,  Akademie der Wissenschaften,  Erstaufführung	1559.0		False
akar	wollen,  freiwillig,  gewaltsam, erőszakos	4811.0	uncertain	False
akár	ob...oder,  wenigstens,  meinetwegen	1372.0	change of word class	False
akaszt	hängen,  schlagen,  Haken,  binden 	1192.0		False
aggik¹ ∆	sich um etw kümmern	1577.0		False
agilis	agil,  Halbadeliger	1796.0		False
agitál	unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		False
agresszió	Agression	1657.0		False
ágrólszakadt	ärmlich aussehend, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, unbekannter Abstammung 	1793.0		False
agronómus	Agronom	1865.0		False
agy	Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0		False
ágy	Flußbett,  Bett,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  ausgebreitetes Getreide, ausgebreitete Garben 〈auf der Tenne〉,  Konkubine 	1276.0		False
agyabugyál	prügeln,  sich verzanken	1669.0		False
agyafúrt	irrsinnig,  durchtrieben, schlau,  stur 	1538.0		False
agyag	Ton, Lehm 	1205.0		False
agyar	Hauer, Hauzahn,  knirschen 	1456.0		False
ágyék	Lende	1490.0		False
ágynemű	Bettzeug,  Lagerstätte	1748.0		False
agyon	zu Tode,  auf den Kopf 	1551.0		False
ágyú	mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Kanone mit Sprengsatz	1456.0		False
áhít	herbeisehnen,  Sehnsucht,  Andacht 	1416.0		False
áj¹ ×	aushöhlen	1833.0		False
áj² ∆	Tal, Schlucht,  Öffnung, Zwischenraum,  Falz, Kerbe,  Zaum,  angezeichnet,  Sardelle	1055.0		False
ajak	Mund, Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1228.0		False
ajándék	Geschenk,  Opfergabe	1137.0		False
ajánl	empfehlen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0		False
ájer ×	Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0		False
ajnároz	hätscheln, pflegen,  ordnen	1825.0		False
ájtatos	andächtig,  scheinheilig	1372.0		False
ajtó	Tür,  öffnen	1315.0		False
ajtófél	Türpfosten	1512.0		False
ájul	in Ohnmacht fallen,  erschrecken,  staunen, erstaunt sein,  sich sehnen,	1559.0		False
ajz	abspreizen〈Mund〉,  aufzäumen,  〈Bogen, Sehne〉spannen,  öffnen〈Mund〉,  steigern, überspannen 〈Gefühl, Gemütszustand〉,  spannen〈Musikinstrument, seine Saite〉,  Pferdegebiß, zabola	1552.0		False
akác	Robinie ,  Robiniengehölz 	1783.0		False
akadémia	Schule, Hochschule,  Konzert,  Akademie der Wissenschaften,  Erstaufführung	1559.0		False
akar	wollen,  freiwillig,  gewaltsam 	1109.0		False
akár	ob...oder,  wenigstens,  meinetwegen	1372.0		False
akaszt	hängen,  Haken,  binden 	1192.0		False
akceptál	gutheißen, annehmen,  aufnehmen, empfangen,  einrechnen	1570.0	Latin	True
akció	Klage, Klageschrift,  Angelegenheit,  Rede, Rolle,  Behandlung,  Handlung, Tätigkeit,  Wirkung,  Geltrafe,  Aktion als grammatischer Terminus 	1589.0	Latin	True
akkord¹ ∆	Vereinbarung,  Akkordarbeit	1626.0	Wanderwort	True
akkord²	Akkord 〈in der Musik〉 	1802.0	international word	True
akkumulál	anhäufen, ansammeln	1725.0		False
akkumuláció	Anhäufung	1730.0		False
akkurátus	genau,  sorgfältig,  brav, ehrlich	1758.0	Latin	True
akna	Salzgrube,  Spundloch, Spund,  Schacht,  Öffnung, Fenster,  Bergwerk,  Kamin,  Pulvergang, Sprenggrube,  Faßdaube mit Spundloch,  Visierstab,  Seemine, Tretmine, Geschoß des Minenwerfers,  Grubensteiger,  Mineur 〈Soldat〉 	1177.0	Slavic	True
akó ∆	Ohm 〈Hohl-, Flüssigkeitsmaß haupts für Wein und Getreide〉,  Visiereimer, Visierstab zum Ohmen der Fässer 	1226.0	Slavic	True
akol	Pferche, Viehstall,  Art Fischergerät 	1086.0	Slavic	True
ákombákom	Kauderwelsch, Gebabbel,  Gekritzel,  gekritzelt 〈Schrift〉, improvisiert zusammengepfuscht,	1609.0	internal	False
ákovita ×	Art Branntwein 	1620.0	Wanderwort	True
akrobata	Akrobat	1840.0	international word	True
akt	Akt 〈in der bildenden Kunst〉 	1893.0	German	True
Akt	modellt álló vagy ülő  személy,  cselekmény, ténykedés, tevékenység, cselekedet, előadás, felvonás, 			False
akta	Akte, Urkunde,  Geschehnisse, Taten,  Akt, Aufzug,  wissentschaftliche Zeitschrift	1613.0	Latin	True
aktivitás	Aktivität,  Prozeßfähigkeit,  aktiever Dienst	1704.0		False
aktivizál	ermächtigen,  aktivieren	1820.0		False
aktuális	tatsächlich, wirklich,  aktuell 	1708.0		False
aktus	Tat, Handlung,  Geschlechtsakt,  Fall,  Aufzug 〈im Theater〉,  Verfahren	1618.0	Latin	True
akusztika	Akustik,  Hörverhältnisse	1845.0	international word	True
akvarell	Aquarellfarbe,  Aquarellmalerei,  Auqarell	1844.0	international word	True
akvárium	Aquarium	1877.0	international word	True
al	unterer,  Tiefland,  unter etw befindliches Gebiet, unter etw befindliche Sache,  Unterteil,  Rest,  Streu,  Grund, Basis	1219.0		False
ál	falsch,  maskierend,  Falschheit 	1215.0		False
alá	abwärts,  unten,  darunter,  hinunter,  für,  unterhalb 	1307.0		False
alabárd ∆	Hellebarde	1550.0	Wanderwort	True
alabástrom	Salbengefäß,  Alabaster, glatte, weiße Oberfläche 	1416.0	Latin	True
alacsony	niedgrig, klein,  untergeordnet,  niederträchtig,  niedergedrückt werden,  niederträchtig werden 	1211.0	derived word	False
alafa †	Sold, Beute,  Ration,  Würde,  Pfründe	1535.0	Ottoman-Turkic	True
alak¹	Puppe, Docke,  Maske,  Liebchen,  Gestalt, Form,  verziert,  Gaukler, Komödiant 	1338.0		False
alakor ×	Dinkel,  Mischfutter  	1450.0		False
alamizsna	Almosen,  Proviant	1372.0	Slavic	True
alamuszi	unbeholfen, ungeschickt,  träge, faul,  verschlafen,  heimtückisch	1632.0		False
alán	Alane,  alanisch	1559.0	Latin	True
alany	Subjekt,  Materie,  Unterlage, Wildling 〈eines Obstbaumes〉,  Wesen	1790.0	Latin	True
alap	Grund, Fundament 	1774.0	internal	False
alarm ∆	Alarm	1722.0		False
alarmíroz ∆	alarmieren,  beunruhigen	1848.0	Wanderwort	True
alászolgája ∆	〈Grußformel〉,  〈Ausdruck der Ablehnung〉,   ergebener Diener 	1793.0	blending	False
alattomban	heimlich, unmerklich,  leise,  niedrig, unten,  heimtückisch 	1519.0		False
alattság ×	Rahe,  Schlepptau 	1395.0	Croatian or Serbian	True
alattvaló	niederträchtig,  Untertan	1604.0	compound	False
alávaló	niedrig, minderwertig,  unten befindlich,  geringen Standes,  niederträchtig	1416.0	compound	False
aláz	mit Demut erfüllen,  unterwerfen,  demütigen, beschämen,  sich dukken,  überzeugen,  Demut,  Demütigung,  dermütigen	1372.0	derived word	False
albán	Albaner,  albanisch	1559.0	Latin	True
album	Stammbuch, Gedenkbuch,  Namenbuch, Fremdenbuch,  Tagebuch,  Festschrift,  Sammelbuch, Album	1620.0	international word	True
álca	Maske,  Larve 〈Zool〉 	1853.0	blending	False
áld	opfern,  segnen,  Gutes wünschen,  preisen,  heiligen,  schimpfen	1193.0	Proto-Finno-Ugric	False
áldomás	Opfer,  Kauftrunk,  Segnung,  Erlaubnis,  Gelage,  Trinkspruch,  Abschietrunk	1200.0	derived word	False
áldoz	aufopfern,  kommunizieren 〈Relig〉,  Opfer bringen,  Christi Himmelfahrtstag 	1372.0	derived word	False
alél	in Ohnmacht fallen, ermatten,  von Übel befallen werden,  Ohnmacht 	1552.0		False
alfa	Anfang,  Buchstabe α 	1519.0	Latin	True
alga	Alge	1858.0	Latin	True
algebra	Algebra	1708.0	international word	True
alibi	Alibi 	1843.0	international word	True
alig	schwerlich,  fast nicht,  ungefähr 〈soviel〉,  kaum,  ganz selten,  unwohl 〈sein〉	1372.0	lexicalized inflected word-form	False
alít ×	meinen, denken,  sich getrauen zu glauben, hoffen,  bekräftigen, behaupten,  einer Sache Beachtung schenken, in Betracht ziehen	1372.0	derived word	False
alkalom	Gelegenheit,  Wohlhabenheit,  Schuppen,  Unterhaltung, illő, szabad,  Geeignetheit,  Fahrgelegenheit,  der Angestellte 	1372.0	derived word	False
alkat	Veranlagung,  Struktur,  Bauwerk, Gerüst,  Formel,  Form, Habitus 	1800.0	internal	False
alkohol	Alkohol	1789.0		False
alkonyodik	es dunkelt	1573.0		False
alkorán †	Korán	1559.0	Wanderwort	True
alkot	herstellen,  an- od zusammenpassen,  Erzeuger,  Verfassung 	1416.0		False
