ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	2924	A LITTLE	kevés	  klein; wenig;   wenig;  nicht genug;   unmaßgeblich;   kurz darauf;  ein bißchen;   ein bißchen;   ein bißchen;  nicht genug 〈als Adj〉;   eine kleine Weile;   eine kleine Weile	wenig	wenig-3
4	1815	ACHE	fáj	  bedauern;   bedauern; schmerzen;   schmerzhaft fühlen;   schmerzhaft fühlen	schmerzen	schmerzen-1
5	2882	ADD	biggyeszt	anhängen;  hinzufügen;   〈Lippen〉 aufwerfen	 hinzufügen	hinzufugen-1
17	2214	AFFAIR	ügy²	  Angelegenheit;   Grund;  Sache;  Schicksal;   suggerieren;  Schlauheit;   aneifern;  Aufmerksamkeit;   Beachtung;   Lage;   geschickt;  Vorfall;  Ursache;  Rechtsstreit;   Prozeß; Geschehen;   Rechtsfall;  Tatbestand;   Geschäftigkeit;   Prozeßpartei;   jmdm Beachtung schenken;  ügyefogyott;  gyámoltalan	  Angelegenheit	Angelegenheit-7
18	2093	AFTERWARDS	rá	 nur zu;   los;   außerdem;  vorwärts;  dafür;   für ihn;   auf ihn; 〈in der Funktion des SublatSf -ra;  in der Funktion des TermSf -ig〉;  darauf;  darauf;  daran 〈mit Akk〉;   auf ihm;  daran 〈mit Dat〉;   auf sich 〈Akk〉;   auf ihn zu;   danach;   dazu noch	  danach	danach-1
19	204	AGAIN	ismét	 doch;  gleichfalls;   auch;   hingegen; wieder;   ferner;  noch	wieder	wieder-1
22	204	AGAIN	megint	  doch;   und; wieder;   wieder	wieder	wieder-4
36	27	AIR	lég	Luft;   Luft;   Gas	Luft	Luft-4
38	27	AIR	levegő	Luft;   Luft;  Atmosphäre;   allgemeine Stimmung;  Nichts;   das Freie;  freie Luft;   luftartige;  gasförmige Substanz;   Niemand	Luft	Luft-6
42	98	ALL	monnó	beide;   alles	  alles	alles-1
44	1964	ALONE	egyedül	einsam;   nur;  allein;  ausschließlich;  alleinstehend 〈als Adv〉;  für sich	 allein	allein-2
51	2576	ALREADY	már	  schon; also;   mal ... mal;  denn;   mehr 〈nicht〉;  bereits	  schon	schon-6
54	1676	ALWAYS	mindig	immer;   immer ;  stets;   jeweils	immer	immer-3
60	2987	AMOUNT	halom	  Haufen;  Menge; niedriger Hügel;  Stoß;   Kartoffelmiete;   häufen 〈auch abstr〉	 Menge	Menge-5
73	2987	AMOUNT	szám	 Menge;   Arbeit;   zahlreich;   Ziffer;  Zahl; Personalbestand; Reihe;  Anzahl bestimmter Individuen;   Anzahl;   Quantität;  Nummer;  werk;   Numerus;   Exemplar einer Zeitung;  Zeitschrift usw;   Arithmetik;  Mathematik;   Nummer innerhalb einer Spielfolge;   Trennpfahl zwischen zwei Klaftern Holz;   Zählender;   Zähler 〈Math〉	 Menge	Menge-18
76	1577	AND	és	und	und	und-1
78	1577	AND	meg²	doch;   außerdem;  und	 und	und-3
81	619	ANIMAL	állat	  Gestalt;   Gerät;   Wesen; Zustand;   Lebewesen;   Sache;   Tier;  Vierfüßer;  nagy termetű	  Tier	Tier-1
90	587	ANT	hangya	Ameise 	Ameise 	Ameise-1
91	1320	APPLE	alma	Apfelbaum;   Apfel;   〈als Ausdruck der Verneinung〉;   Apfelgarten;   mit Apfelmotiven versehen 〈zB weißes Pferd〉;   faul 〈im Arg〉 	  Apfel	Apfel-1
92	2847	APRIL	április	April	April	April-1
94	2980	AREA	környék	Umgebung;   umgeben;  Gegend;   Rand;  Umkreis;   Umfang;  Saum;   jmdn versuchen;  an jmdn mit einem  Angebot herantreten;   Unterwerfung;   unbeschnitten 〈Mann〉;   Umhüllung	 Gegend	Gegend-2
102	1673	ARM	ág	Flußarm;   Ast;   Sippe;  Parentel;   herausragender Teil von etw;  Arm;   Teil einer Begriffsklasse;   abzweigen 	 Arm	Arm-1
103	1673	ARM	kar²	Arm;  Lehne;   Arm als Gegenstand	Arm	Arm-2
104	1387	ARRIVE	ér²	berühren;  treffen;   ankommen;   erleben;   reichen;  langen;   erwischen;   zufällig tun;   tun können	  ankommen	ankommen-1
112	977	ARROW	nyíl	  Teil;  Schicksal;   losen;   Blitz; Pfeil;   Losziehung;   durch Los zugeteiltes Gruntück;   〈als Benennung versch pfeil-;  od keilförmiger Gegenstände und Zeichen〉;  Anteil des zugeteilten Feldes;   Schütze 〈in der Astronomie〉;   Bogenschütze;   Anhänger der ung Nazipartei 〈auch als Attr〉;   mit Pfeil und Bogen schießen	Pfeil	Pfeil-1
113	646	ASH	hamu	  Leiche; Asche;   mit Asche bedeckt od gefüllt;   aschfarben;  aschgrau;  meszes bőrkikészítő anyagot tartalmazó gödör;  edény;  láda;   flaumig;  duftig 〈Obst〉;  vászonlepedő 〈a szapulóban〉;   samtig;  jugendfrisch	Asche	Asche-1
114	1309	ASK (INQUIRE)	kérd	 begehren; bitten;   fragen;   Fragen;   nachfragen	  fragen	fragen-1
119	1828	ASK (REQUEST)	kér¹	  fordern;  wünschen;   Brautwerber;  auffordern;   beten;   Bitte; bitten;   bitten;   inständig bitten;  anflehen;   ersuchen;   um jm Hand bitten od werben;  freien;   hinbestellen;   käuflich erwerben;  kérés	bitten	bitten-1
125	3638	ASSEMBLE (GET TOGETHER)	gyűlik	  hergelaufen;   Versammlung; sich versammeln;  sich anhäufen;   eitern;  schwären	sich versammeln	sichversammeln-1
126	2915	AT FIRST	eleve	 anfangs; vorne 〈in attr Funktion〉;   erstens;  als erster;  zuerst;   vorwärts;  voraus;   von vornherein	 zuerst	zuerst-1
127	2922	AT THAT TIME	ottogyol †	 dann; dort;   dort;   damals	  damals	damals-1
128	2922	AT THAT TIME	tott †	 ja; wahrlich;   damals	  damals	damals-2
129	2851	AUGUST	augusztus	August	August	August-1
130	1272	AUNT	néni	  alte Frau; Tante;  ältere Verwandte;   ältere Schwester;  〈als Anrede an eine  Frau〉	Tante	Tante-1
131	1272	AUNT	tanti ∆	Tante	Tante	Tante-2
132	1276	AUTUMN	ősz²	Herbst	Herbst	Herbst-1
133	1291	BACK	derék	  brav;  wirklich;   Wesen;   gut;  kräftig;  tüchtig;   völlig;   stattlich;   stattlich;   schön; Leib;  Rumpf;   Rücken;  Kreuz;   Mitte;  Hauptteil;  Inhalf;   Wagenkasten;   Baumstamm;   Mieder;   Taille 〈am Kleid〉;   Regenbett;  Wasserlauf;  trockenes Flußbett;  wohlgebaut;   Haupt-;  echt;  vollständig;   groß;   richtig;   vortrefflich	  Rücken	Rucken-1
139	2910	BACK (DIRECTION)	curukk ×	zurück!	zurück!	zuruck-1
144	2910	BACK (DIRECTION)	vissza	 zurück;   Streit;   Rückseite;   wieder;   verkehrt;   als Erwiderung; in entgegengesetzte Richtung;  gegensätzlich;   in früheren Zustand;   in frühere Zeit;  Widerspruch;   mißfällige Sache;   Gegenteil;   Übelstand;  Übelstand;   Rückweg;   Widrigkeit	 zurück	zuruck-6
151	1292	BAD	rossz	  schlimm;  mager; schlecht;   schwach;  wertlos;  schändlich;   〈als Schimpfwort〉;  Fallsucht;  Übel;   unartig;  unredlich 〈Person〉;   unredliche Person;   unerwünschte Sache;  Böses;   böse Tat;   schlechter;  wertloser Teil von etw;   schwere Krankheit;  Schlaganfall usw	schlecht	schlecht-6
156	56	BAD LUCK	katasztrófa	 Unglück;  Unglück; überraschende Wendung; überraschende Wendung;  schweres;  schweres;  verhängnisvolles Unheil;  verhängnisvolles Unheil;   Lösung des Konflikts 〈im Drama;   Lösung des Konflikts 〈im Drama;  Epos〉;  Epos〉	 Unglück	Ungluck-2
158	56	BAD LUCK	tragédia	  Unglück;  Tragödie; Trauerspiel	  Unglück	Ungluck-4
159	2468	BAG	táska	  Schote;  Hülse; Ranzen;   Art gefüllte Mehlspeise;   Beutel;  Tasche;  oft mit Traggriff;   Anschwellung der Haut;  flache Vorwölbung am Wandputz	 Tasche	Tasche-1
162	183	BAKE	süt	  schlagen;   Bäcker;   brennen;  bloßstellen;   Bratpfanne;   sich sonnen; braten;   braten;  backen 〈trans〉;  scheinen 〈zB Sonne〉;   brandmarken;   Brand 〈Pflanzenkrankheit〉 verursachen;  brennend schmerzen 〈Frost〉;   abfeuern 〈Waffe〉;   niederschlagen〈 Augen〉;  senken 〈Kopf;  Ohren〉;   loslassen;  an den Mann bringen;   steckenbleiben machen;   ungeschickt abfassen;  holperige Verse machen;   die Haare brennen;   Backofen;   röhre;   Backwer;  backen;   Gebäck	 backen	backen-1
163	1204	BARK	héj	 Schale;   Dach;   Dach;   Augenlid; Rinde;   Bettüberzug;   Schuppe;   Dach decken	Rinde	Rinde-1
165	1204	BARK	kér² †	 Rinde; Kruste	 Rinde	Rinde-3
167	1206	BARKING	ugat	 faseln; bellen;   jmdn anfeinden;  jmdm Böses nachreden	bellen	bellen-1
168	138	BATHE	füröszt	baden;  im Bad abwaschen	baden	baden-1
170	663	BAY	öböl	 Busen;   Bucht; Brust;   innerer;  hohler Teil eines bauchigen Gefäßes od eines anderen Gegenstandes;   Kaliber	  Bucht	Bucht-2
171	972	BE ABLE	hat¹	  Wirkung;   haben;    dringen;  vermögen; können;   ergreifen;  packen 〈Gefühl〉;   wirken;  wirksam sein;   erscheinen;  anmuten;   Behausung;   über Macht verfügend;   wirksam;   wirksam;   ungangbar;   Eindringen;   durchdrungen werden;   gerührt sein;   rührend	können	konnen-1
172	972	BE ABLE	tud	  einrechnen;  meinen;   Gelehrter;  ahnen;   Erkundigung;   Wissenschaft;   können;  verrichten;   überzeugt sein;  abtragen; jmdn kennen;  von jmdm Kenntnis haben;  etw wissen;  entschlossen sein;  Zuversicht haben;   mit jmdm Geschlechtsverkehr haben;  aufrechnen;  aufschreiben;   jmdn um etw bringen;  jmdn verjagen;   abrechnen;   gelehrt;   gelehrt;   Wissen;   überklug;   überklug;  gelehrsam;   Bewußtsein	  können	konnen-2
173	1422	BE ALIVE	él¹	 Nahrung;  gebrauchen;  gebrauchen;   Amme;   Amme; leben; leben;   sich nähren;   sich nähren;  sich erhalten;  sich erhalten;   benützen;   benützen;   mit jemandem 〈dauernd〉zusammen sein;  mit jemandem zusammen wohnen;   irgendein Leben führen;  irgendwelchem Zustand sein;   in dauerndem Geschlechtsverhältnis leben;  in ehelichem Verhältnis leben;   sich aufhalten;  wohnen;  wohnen;   Lebensmittel;   Lebensmittel;   Lebensmittel;  Lebensmittel;   Lebensmittel;  élet;  használat;  használat;   Lebendige;   Lebendige;   életmód;   Leben;   Leben;   Leben;   Leben;  megélhetés;   Unterhalt;   Unterhalt;  Fortkommen;  Fortkommen;   Getreide;   Getreide;  ház és udvar;  belsőség;   nähren;   nähren;  beleben;  beleben;  valaminek a használatára késztet;   hochleben lassen;   hochleben lassen;   Lebens-;   Lebens-;   bejahrt werden;   bejahrt werden;   bejahrt werden;   bejahrt werden;   lebhaft werden;   lebhaft werden;  erstarken;  erstarken;   genießbar;   genießbar;  brauchbar;  brauchbar;  életrevaló;  életképes;  táplál;   Hefe;   Hefe;   sich fristen;   sich fristen;  valamiből él;   schmarotzen;   schmarotzen;  Zehrung;  Zehrung;  élvezet;   Erlebnis;   Erlebnis;   lebenslang ;   lebenslang;   mit jmdm zusammenleben;  bei jmdm leben;    Leben führen;  sich  befinden;   mit jmdm  leben;   verweilen;  Broterwerb	leben	leben-1
176	1422	BE ALIVE	eleven	  gesund; lebend;   lebend;   flink;  beweglich;  lebhaft;   unter der Furche liegend;  vom Pflug nicht berührt 〈Boden〉;   wunder Punkt 〈abstr〉;   tot	lebend	lebend-1
