Grapheme	IPA
ablak	ɒ b l ɒ k
abrak	ɒ b r ɒ k
ábráz	aː b r aː z
abriktol	ɒ b r i k t o l
abroncs	ɒ b r o n t͡ʃ
abrosz	ɒ b r o s
acintos	ɒ t͡s i n t o ʃ
ács	aː t͡ʃ
acsa	ɒ t͡ʃ ɒ
acsarkodik	ɒ t͡ʃ ɒ r k o d i k
ad	ɒ d
ádámcsutka	aː d aː m t͡ʃ u t k ɒ
affektál	ɒ fː ɛ k t aː l
ág	aː ɡ
ágál	aː ɡ aː l
agg	ɒ ɡː
aggastyán	ɒ ɡː ɒ ʃ c aː n
agitál	ɒ ɡ i t aː l
ágrólszakadt	aː ɡ r oː l s ɒ k ɒ d t
agy	ɒ ɟ
ágy	aː ɟ
agyafúrt	ɒ ɟ ɒ f uː r t
agyag	ɒ ɟ ɒ ɡ
ágyék	aː ɟ eː k
ágyú	aː ɟ uː
áj	aː j
ajak	ɒ j ɒ k
ajándék	ɒ j aː n d eː k
ajánl	ɒ j aː n l
ájer	aː j ɛ r
ajnároz	ɒ j n aː r o z
ajtó	ɒ j t oː
ájul	aː j u l
akar	ɒ k ɒ r
akaszt	ɒ k ɒ s t
ájtatos	aː j t ɒ t o ʃ
akceptál	ɒ k t͡s ɛ p t aː l
akció	ɒ k t͡s i oː
akkurátus	ɒ kː u r aː t u ʃ
akna	ɒ k n ɒ
al	ɒ l
ál	aː l
alá	ɒ l aː
alacsony	ɒ l ɒ t͡ʃ o ɲ
alak	ɒ l ɒ k
alamuszi	ɒ l ɒ m u s i
alap	ɒ l ɒ p
alattomban	ɒ l ɒ tː o m b ɒ n
alávaló	ɒ l aː v ɒ l oː
áld	aː l d
áldomás	aː l d o m aː ʃ
alfa	ɒ l f ɒ
alig	ɒ l i ɡ
alít	ɒ l iː t
alkat	ɒ l k ɒ t
alkot	ɒ l k o t
alkörmös	ɒ l k ø r m ø ʃ
áll	aː lː
állam	aː lː ɒ m
állapik	aː lː ɒ p i k
állapotos	aː lː ɒ p o t o ʃ
állat	aː lː ɒ t
állítmány	aː lː iː t m aː ɲ
állomás	aː lː o m aː ʃ
allűr	ɒ lː yː r
alma	ɒ l m ɒ
almárium	ɒ l m aː r i u m
álmél	aː l m eː l
álnok	aː l n o k
alt	ɒ l t
által	aː l t ɒ l
ám	aː m
ámpolna	aː m p o l n ɒ
ampulla	ɒ m p u lː ɒ
ámul	aː m u l
ananász	ɒ n ɒ n aː s
andalodik	ɒ n d ɒ l o d i k
ándung	aː n d u n ɡ
angolna	ɒ n ɡ o l n ɒ
antal	ɒ n t ɒ l
antilop	ɒ n t i l o p
anya	ɒ ɲ ɒ
anyag	ɒ ɲ ɒ ɡ
anyós	ɒ ɲ oː ʃ
apa	ɒ p ɒ
áperte	aː p ɛ r t ɛ
ápol	aː p o l
áporodik	aː p o r o d i k
após	ɒ p oː ʃ
aprehendál	ɒ p r ɛ h ɛ n d aː l
április	aː p r i l i ʃ
apród	ɒ p r oː d
ár	aː r
ara	ɒ r ɒ
arany	ɒ r ɒ ɲ
arasz	ɒ r ɒ s
arat	ɒ r ɒ t
árbóc	aː r b oː t͡s
árestál	aː r ɛ ʃ t aː l
árguvál	aː r ɡ u v aː l
árgyélus	aː r ɟ eː l u ʃ
ária	aː r i ɒ
árkány	aː r k aː ɲ
ármányos	aː r m aː ɲ o ʃ
árnyék	aː r ɲ eː k
árt	aː r t
áru	aː r u
árva	aː r v ɒ
ás	aː ʃ
ásít	aː ʃ iː t
ásvány	aː ʃ v aː ɲ
asszony	ɒ sː o ɲ
asztag	ɒ s t ɒ ɡ
asztal	ɒ s t ɒ l
aszú	ɒ s uː
átall	aː t ɒ lː
atka	ɒ t k ɒ
átkoz	aː t k o z
attakíroz	ɒ tː ɒ k iː r o z
atya	ɒ c ɒ
atyafi	ɒ c ɒ f i
augusztus	ɒ u ɡ u s t u ʃ
autó	ɒ u t oː
avagy	ɒ v ɒ ɟ
avas	ɒ v ɒ ʃ
az	ɒ z
ázik	aː z i k
azonban	ɒ z o n b ɒ n
azonnal	ɒ z o nː ɒ l
azután	ɒ z u t aː n
azsag	ɒ ʒ ɒ ɡ
bab	b ɒ b
báb	b aː b
baba	b ɒ b ɒ
bába	b aː b ɒ
bábó	b aː b oː
bábu	b aː b u
babug	b ɒ b u ɡ
bácsi	b aː t͡ʃ i
bádog	b aː d o ɡ
bagaria	b ɒ ɡ ɒ r i ɒ
bagó	b ɒ ɡ oː
bagoly	b ɒ ɡ o j
baj	b ɒ j
bájos	b aː j o ʃ
bajusz	b ɒ j u s
bak	b ɒ k
bakló	b ɒ k l oː
baktat	b ɒ k t ɒ t
bal	b ɒ l
bála	b aː l ɒ
