sense	year	origin	Concepticon_ID	Concepticon_Gloss
beunruhigen, belästigen,  hetzen, jagen,  schreien,  prügeln,  schreien,  plaudern,  klagen	1662.0	derived word	1435	HUNT
Fenster,  Rauchloch	1372.0	Slovenian	1375	WINDOW
Ration des Dienstvolks,  Nahrung,  Pferdefutter	1494.0	Slavic	256	FOOD
Bild, Gestalt	1372.0		3303	PICTURE (PAINTING)
unterrichten,  prügeln	1835.0		709	TEACH
reif,  Kreis, Ring,  Reifen am Saume des Frauenkleides	1467.0	Slavic	178	RIPE
Tischtuch,  Landkarte,  Decke, Bettlaken	1372.0	Slavic	806	BLANKET
hart,  gestählt, stählern	1816.0	internal	1884	HARD
Zimmermann	1222.0	Turkic	1042	CARPENTER
Libelle		unknown	2352	DRAGONFLY
Zähne fletschen,  anfeinden, intrigieren,  wüten,  kichern,  schreien, zanken	1645.0	derived word	715	SHOUT
zukommen lassen, schenken,  geben, liefern,  lassen,  verkaufen,  veröffentlichen,  Geben,  Beleg, Angabe,  Gesetzgeber,  Herausgeber,  〈als Teil eines Schimpfw〉,  Tradition,  Beitrag 	1086.0	Proto-Finno-Ugric	1447	GIVE
Adamsapfel,	1845.0	compound	802	ADAM'S APPLE
heucheln, nachahmen,  sich an etw ergötzen,  affektieren 	1587.0		117	IMITATE
Flußarm,  Ast,  Sippe, Parentel,  herausragender Teil von etw, Arm,  Teil einer Begriffsklasse,  abzweigen 	1131.0	uncertain	1673	ARM
prozessieren,  aufführen, 〈eine Rolle〉 darstellen,  〈eine Sache〉 erledigen,  heftig gestikulierend reden,  Rechtspraxis ausüben,  großtun, prahlen	1568.0	Latin	101	BOAST
alt,  bejahrt, hochbetagt 〈Person〉,  schlau, erfahren,  hochgewachsen	1315.0		1229	OLD
bejahrt, vor Alter gebrochen,  blaß, kränkelnd,  alt,  betagter Mann,  alter Junggeselle,  bejahrtes Weib	1536.0	internal	1229	OLD
unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		696	STIR
ärmlich aussehend, lumpig, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, von unbekannter Herkunft 	1793.0	compound	1674	POOR
Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0	Proto-Finno-Ugric	1256	HEAD
Flußbett,  Bett, Lagerstätte,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  auf der Tenne ausgebreitetes Getreide bzw. aisgebreitete Garben,  Konkubine 	1276.0		1663	BED
irrsinnig, närrisch,  schlau,  hartnäckig 	1538.0	compound	1310	CLEVER
Ton 	1205.0	unknown	2995	TONE (MUSIC)
Lende	1490.0	derived word	187	LOIN
mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Geschütz, Kanone,  Kanone mit Sprengsatz	1456.0	uncertain	1361	TOOL
Tal, Schlucht,  Öffnung,  Falz, Kerbe,  Zaum,  Zwischenraum,  angezeichnet,  Sardelle,  Sardelle	1055.0		921	VALLEY
Mund,Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1228.0	derived word	674	MOUTH
Geschenk,  Opfergabe	1137.0	derived word	2982	GIFT
anbieten, anvertrauen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0	derived word	1675	PROMISE
Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0	Latin	960	WIND
hätscheln, pflegen,  ordnen	1825.0	uncertain	253	CARE FOR
Tür, ajtóőriző	1315.0	derived word	1567	DOOR
erschrecken,  in Ohnmacht fallen,  staunen, álmélkodik,  sich sehnen,	1559.0	onomatopoetic	252	FRIGHTEN
wollen,  freiwillig,  gewaltsam, erőszakos	4811.0	uncertain	1784	WANT
hängen,  schlagen,  Haken,  binden 	1192.0		2884	HANG
unterhandeln,  Tätigkeit entfalten,  umrühren,  gewinnen, aufmuntern,  aufwiegeln	1589.0		696	STIR
ärmlich aussehend, arm,  unbeholfen, ungeschickt,  schuftig, rüpelhaft,  hergelaufen, unbekannter Abstammung 	1793.0		1674	POOR
Schädel, Kopf,  Nabe,  Gewehrkolben,  Halfter,  Gehirn, Vernunft,  verprügeln,  ausklügeln, ersinnen	1138.0		1256	HEAD
Flußbett,  Bett,  Lafette,  Essiglager, Bodensatz,  Beet,  〈als Symbol der Familie〉,  Streu,  Bettzeug,  ausgebreitetes Getreide, ausgebreitete Garben 〈auf der Tenne〉,  Konkubine 	1276.0		1663	BED
irrsinnig,  durchtrieben, schlau,  stur 	1538.0		1310	CLEVER
Ton, Lehm 	1205.0		1399	CLAY
Lende	1490.0		187	LOIN
mit Schießpulver wirkende Steinschleuder,  Werkzeug, Gerät,  Kanone mit Sprengsatz	1456.0		1361	TOOL
aushöhlen	1833.0		46	HOLLOW OUT
Tal, Schlucht,  Öffnung, Zwischenraum,  Falz, Kerbe,  Zaum,  angezeichnet,  Sardelle,  Mund, Lippe,  Schamlippe,  Öffnung 〈eines Gefäßes〉,  Kinn,  Lippenblütler 	1055.0		674	MOUTH
Geschenk,  Opfergabe	1137.0		2982	GIFT
empfehlen,  opfern,  versprechen, áldozat,  Angelobung,  Angebot,  Empfehler,  Einschreibebrief 	1372.0		1675	PROMISE
Luft, Atmosphäre,  heilkräftige Flüssigkeit,  Wind,  Gestank	1565.0		960	WIND
hätscheln, pflegen,  ordnen	1825.0		253	CARE FOR
andächtig,  scheinheilig,  Tür,  öffnen	1372.0		1156	OPEN
in Ohnmacht fallen,  erschrecken,  staunen, erstaunt sein,  sich sehnen,	1559.0		252	FRIGHTEN
wollen,  freiwillig,  gewaltsam 	1109.0		1784	WANT
hängen,  Haken,  binden 	1192.0		1917	TIE
gutheißen, annehmen,  aufnehmen, empfangen,  einrechnen	1570.0	Latin	694	GET
