form	sense	year	origin	Loan	Concepticon_ID	Concepticon_Gloss
abajgat	 beunruhigen, belästigen,  hetzen, jagen,  schreien,  prügeln,  schreien,  plaudern,  klagen	1662.0	derived word	False	1435.0	HUNT
ablak	 Fenster,  Rauchloch	1372.0	Slovenian	True	1375.0	WINDOW
abrak	 Ration des Dienstvolks,  Nahrung,  Pferdefutter	1494.0	Slavic	True	256.0	FOOD
ábráz†	 Bild, Gestalt	1372.0		False	3303.0	PICTURE (PAINTING)
abriktol	 unterrichten,  prügeln	1835.0		False	709.0	TEACH
abroncs	 reif,  Kreis, Ring,  Reifen am Saume des Frauenkleides	1467.0	Slavic	True	178.0	RIPE
abrosz	 Tischtuch,  Landkarte,  Decke, Bettlaken	1372.0	Slavic	True	806.0	BLANKET
acintos	 hart,  gestählt, stählern	1816.0	internal	False	1884.0	HARD
ács	 Zimmermann	1222.0	Turkic	True	1042.0	CARPENTER
acsa	 Libelle		unknown	False	2352.0	DRAGONFLY
acsarkodik	 Zähne fletschen,  anfeinden, intrigieren,  wüten,  kichern,  schreien, zanken	1645.0	derived word	False	715.0	SHOUT
ad	 zukommen lassen, schenken,  geben, liefern,  lassen,  verkaufen,  veröffentlichen,  Geben,  Beleg, Angabe,  Gesetzgeber,  Herausgeber,  〈als Teil eines Schimpfw〉,  Tradition,  Beitrag 	1086.0	Proto-Finno-Ugric	False	1447.0	GIVE
ádámcsutka	 Adamsapfel, 	1845.0	compound	False	802.0	ADAM'S APPLE
affektál	 heucheln, nachahmen,  sich an etw ergötzen,  affektieren 	1587.0		False	117.0	IMITATE
ág	 Flußarm,  Ast,  Sippe, Parentel,  herausragender Teil von etw, Arm,  Teil einer Begriffsklasse,  abzweigen 	1131.0	uncertain	False	1673.0	ARM
ágál	 prozessieren,  aufführen, 〈eine Rolle〉 darstellen,  〈eine Sache〉 erledigen,  heftig gestikulierend reden,  Rechtspraxis ausüben,  großtun, prahlen	1568.0	Latin	True	101.0	BOAST
agg	 alt,  bejahrt, hochbetagt 〈Person〉,  schlau, erfahren,  hochgewachsen	1315.0		False	1229.0	OLD
aggastyán	 bejahrt, vor Alter gebrochen,  blaß, kränkelnd,  alt,  betagter Mann,  alter Junggeselle,  bejahrtes Weib	1536.0	internal	False	1229.0	OLD
